OrderID,OrderDate,BranchID,Country,City,CustomerID,ProductID,ProductCategory,ProductName,Brand,Quantity,UnitPrice,DiscountRate,TaxRate,TotalAmount,PaymentMethod,SalesChannel,EmployeeID,WarrantyYears,ReturnFlag,ShipmentMode,DeliveryDays,Currency
ORD145001,19-12-2023,BR48,USA,Dallas,CUST6973,PROD731,Tablet,iPad Air,Samsung,4,1328.9,0.3,0.18,4390.69,Cash,In-Store,EMP389,2,0,Same Day,5,GBP
ORD145002,14-04-2023,BR45,Germany,Berlin,CUST9576,PROD832,Mobile,OnePlus 11,Sony,1,1416.73,0.02,0.18,1638.31,Cash,In-Store,EMP766,1,1,Same Day,8,EUR
ORD145003,25-05-2024,BR37,UAE,Abu Dhabi,CUST7139,PROD328,TV,Samsung QLED 50,Lenovo,1,1173.12,0.01,0.18,1370.44,Debit Card,Online,EMP913,0,0,Standard,4,EUR
ORD145004,11-06-2023,BR98,USA,Los Angeles,CUST4469,PROD364,TV,Samsung QLED 50,Sony,4,653.44,0.2,0.18,2467.39,Credit Card,Online,EMP893,3,0,Standard,7,AED
ORD145005,13-04-2024,BR6,UK,London,CUST1190,PROD896,TV,Samsung QLED 50,Sony,2,315.34,0.21,0.18,587.92,UPI,Online,EMP349,2,1,Standard,9,GBP
ORD145006,05-06-2024,BR49,USA,Los Angeles,CUST6772,PROD324,TV,LG OLED 48,Apple,2,314.41,0.01,0.18,734.59,Debit Card,In-Store,EMP760,0,0,Standard,1,INR
ORD145007,24-12-2024,BR38,Germany,Hamburg,CUST6333,PROD213,TV,Samsung QLED 50,Lenovo,4,1043.27,0.29,0.18,3496.21,Credit Card,In-Store,EMP422,1,0,Express,4,USD
ORD145008,10-05-2023,BR92,UAE,Abu Dhabi,CUST5614,PROD539,Laptop,HP Spectre x360,HP,4,1848.44,0.15,0.18,7415.94,Net Banking,In-Store,EMP986,3,1,Same Day,8,AED
ORD145009,08-05-2023,BR94,India,Mumbai,CUST9420,PROD779,Tablet,iPad Air,Samsung,1,1904.94,0.05,0.18,2135.44,UPI,Online,EMP767,0,0,Express,10,AED
ORD145010,02-04-2024,BR22,UK,Manchester,CUST3606,PROD859,Tablet,Samsung Galaxy Tab,Lenovo,1,1718.09,0.11,0.18,1804.34,Net Banking,In-Store,EMP550,0,0,Same Day,10,GBP
ORD145011,31-03-2023,BR6,UAE,Dubai,CUST8577,PROD813,Accessories,Wireless Mouse,Dell,4,1767.13,0.01,0.18,8257.45,Net Banking,Online,EMP528,0,0,Same Day,9,USD
ORD145012,14-10-2023,BR115,India,Bangalore,CUST3583,PROD443,Accessories,Bluetooth Headphones,Apple,3,66.45,0.04,0.18,225.82,Debit Card,In-Store,EMP525,0,0,Same Day,7,AED
ORD145013,01-10-2023,BR77,UAE,Dubai,CUST8148,PROD398,Laptop,HP Spectre x360,LG,1,156.98,0.01,0.18,183.38,Credit Card,In-Store,EMP661,0,0,Same Day,1,EUR
ORD145014,11-04-2024,BR109,USA,Chicago,CUST9435,PROD769,Tablet,Samsung Galaxy Tab,Apple,4,770.08,0.29,0.18,2580.69,Credit Card,Online,EMP546,3,0,Standard,8,EUR
ORD145015,08-09-2024,BR28,India,Mumbai,CUST1717,PROD235,TV,LG OLED 48,Samsung,4,1636.78,0.21,0.18,6103.23,Debit Card,Online,EMP648,3,0,Standard,10,USD
ORD145016,09-08-2023,BR107,Germany,Berlin,CUST7834,PROD135,Accessories,Wireless Mouse,Lenovo,2,1519.79,0.28,0.18,2582.43,Net Banking,In-Store,EMP296,0,0,Same Day,4,INR
ORD145017,12-03-2024,BR36,USA,Dallas,CUST2319,PROD268,Tablet,Samsung Galaxy Tab,Samsung,4,293.47,0.22,0.18,1080.44,UPI,In-Store,EMP204,3,1,Standard,8,INR
ORD145018,08-07-2024,BR97,Germany,Hamburg,CUST1811,PROD552,Tablet,Samsung Galaxy Tab,Lenovo,2,247.42,0.1,0.18,525.52,Credit Card,Online,EMP557,0,0,Standard,6,EUR
ORD145019,07-10-2024,BR25,UAE,Abu Dhabi,CUST1518,PROD374,Tablet,iPad Air,HP,4,1991.42,0.29,0.18,6673.65,UPI,Online,EMP885,2,1,Same Day,8,AED
ORD145020,09-05-2024,BR72,Germany,Hamburg,CUST1055,PROD686,Accessories,Wireless Mouse,LG,1,862.38,0.19,0.18,824.26,Credit Card,In-Store,EMP929,3,0,Standard,4,AED
ORD145021,02-11-2024,BR74,India,Mumbai,CUST4252,PROD848,Mobile,Samsung Galaxy S23,HP,1,604.15,0.01,0.18,705.77,UPI,In-Store,EMP304,1,1,Standard,4,GBP
