OrderID,OrderDate,BranchID,Country,City,CustomerID,ProductID,ProductCategory,ProductName,Brand,Quantity,UnitPrice,DiscountRate,TaxRate,TotalAmount,PaymentMethod,SalesChannel,EmployeeID,WarrantyYears,ReturnFlag,ShipmentMode,DeliveryDays,Currency
ORD100000,2024-10-16,BR76,USA,New York,CUST7912,PROD132,Tablet,iPad Air,HP,2,1486.12,0.2,0.18,2805.79,Credit Card,Online,EMP423,1,0,Same Day,10,USD
ORD100001,2024-07-28,BR44,India,Delhi,CUST5552,PROD259,Laptop,MacBook Air M2,Sony,1,1529.67,0.05,0.18,1714.76,Debit Card,In-Store,EMP304,0,1,Express,2,GBP
ORD100002,2023-12-19,BR71,UAE,Abu Dhabi,CUST5803,PROD949,Mobile,OnePlus 11,OnePlus,5,293.41,0.28,0.18,1246.41,Cash,In-Store,EMP791,1,0,Same Day,2,USD
ORD100003,2024-11-08,BR21,India,Bangalore,CUST7065,PROD463,Mobile,iPhone 14,Samsung,4,592.05,0.19,0.18,2263.53,Debit Card,In-Store,EMP918,0,1,Same Day,3,AED
ORD100004,2023-09-08,BR106,India,Delhi,CUST1525,PROD924,Accessories,Bluetooth Headphones,HP,3,1693.56,0.23,0.18,4616.31,UPI,In-Store,EMP474,0,0,Standard,10,GBP
ORD100005,2023-08-06,BR96,Germany,Munich,CUST8019,PROD697,Accessories,Wireless Mouse,Sony,2,530.92,0.17,0.18,1039.97,Net Banking,In-Store,EMP424,1,1,Same Day,8,USD
ORD100006,2023-02-18,BR68,USA,Los Angeles,CUST5119,PROD666,Laptop,HP Spectre x360,LG,5,173.88,0.11,0.18,913.04,Credit Card,Online,EMP898,2,1,Same Day,6,USD
ORD100007,2023-10-28,BR112,Germany,Berlin,CUST5889,PROD961,Accessories,Wireless Mouse,Sony,5,1535.83,0.15,0.18,7702.19,Cash,Online,EMP356,2,0,Standard,9,AED
ORD100008,2023-01-01,BR31,UAE,Abu Dhabi,CUST1949,PROD346,Accessories,Wireless Mouse,Samsung,3,1763.51,0.25,0.18,4682.12,Cash,Online,EMP287,3,1,Standard,9,INR
ORD100009,2023-05-12,BR92,Germany,Hamburg,CUST6107,PROD508,Laptop,MacBook Air M2,LG,2,1861.38,0.23,0.18,3382.5,UPI,In-Store,EMP729,3,0,Standard,4,INR
ORD100010,2023-03-07,BR30,UK,London,CUST2104,PROD132,TV,Samsung QLED 50,HP,5,479.42,0.02,0.18,2772.01,UPI,Online,EMP726,1,0,Express,8,INR
ORD100011,2024-07-06,BR55,India,Delhi,CUST7735,PROD578,Laptop,MacBook Air M2,LG,2,233.94,0.2,0.18,441.68,Credit Card,Online,EMP262,3,1,Same Day,6,USD
ORD100012,2023-09-12,BR57,India,Pune,CUST2604,PROD151,TV,LG OLED 48,Dell,4,407.8,0.14,0.18,1655.34,Cash,Online,EMP295,1,0,Standard,7,EUR
ORD100013,2024-05-07,BR37,India,Delhi,CUST7930,PROD813,Mobile,iPhone 14,LG,1,1971.35,0.08,0.18,2140.1,Cash,In-Store,EMP358,1,1,Express,4,USD
ORD100014,2024-08-16,BR8,UAE,Dubai,CUST9320,PROD182,Tablet,iPad Air,Apple,5,979.74,0.28,0.18,4161.94,Debit Card,Online,EMP809,0,0,Same Day,4,EUR
ORD100015,2023-05-03,BR120,UAE,Dubai,CUST5272,PROD309,TV,Samsung QLED 50,Apple,5,209.87,0.2,0.18,990.59,UPI,Online,EMP471,3,1,Standard,5,EUR
ORD100016,2023-11-20,BR120,USA,New York,CUST6718,PROD170,Accessories,Keyboard,Samsung,1,1098.39,0.15,0.18,1101.69,Debit Card,In-Store,EMP491,1,0,Express,9,GBP
ORD100017,2024-09-18,BR35,UAE,Dubai,CUST5616,PROD719,TV,LG OLED 48,Samsung,2,565.71,0.27,0.18,974.61,Debit Card,In-Store,EMP408,2,0,Same Day,8,GBP
ORD100018,2023-02-22,BR21,USA,Dallas,CUST8239,PROD664,Tablet,iPad Air,Apple,3,1553.68,0.19,0.18,4455.02,Net Banking,Online,EMP314,0,1,Same Day,3,AED
ORD100019,2023-02-06,BR116,UK,Birmingham,CUST6862,PROD315,TV,Sony Bravia 55,LG,2,131.57,0.11,0.18,276.35,Debit Card,Online,EMP562,3,0,Same Day,3,INR
ORD100020,2023-06-16,BR35,India,Delhi,CUST3608,PROD906,Mobile,iPhone 14,Lenovo,4,1614.36,0.26,0.18,5638.64,Credit Card,In-Store,EMP239,3,0,Standard,4,EUR
